Path,FileName,EN,DE,,
,fm-crs,flight mode!, cruise,Modus Kreuzfahrt,
,fm-acr,flight mode!, acro,Modus Acro,
,fm-rce,flight mode!, race,Modus Rennen,
,fm-lch,flight mode!, launch,Modus abheben,
,fm-png,flight mode!, ping,Modus ping,
,fm-thm,flight mode!, thermal,Thermik-Modus ist aktiviert,
,fm-thl,flight mode!, thermal left,Thermal links ist aktiviert,
,fm-thr,flight mode!, thermal right,Thermal rechts ist aktiviert,
// additional non-OpenTx derived/custom sounds from here,,,,,
,actnlimt,trainer, limited,NOT_AVAILABLE,
,actnflip,trainer, flip,NOT_AVAILABLE,
,actrnoff,trainer, oghf,NOT_AVAILABLE,
,cambrd,board camera,Board-Kamera,,
,camruncm,run cam,run cam,,
,camsw,camera, switch,Kamera, Schalter
,camcntr,camera centered,NOT_AVAILABLE,,
,camfix,camera, fixed,NOT_AVAILABLE,
,camman,camera, manual,NOT_AVAILABLE,
,camoff,camera, oghf,NOT_AVAILABLE,
,camon,camera, awn,NOT_AVAILABLE,
,gmblact,gimbal, active,NOT_AVAILABLE,
,gmbloff,gimbal, oghf,NOT_AVAILABLE,
,gmblon,gimbal, awn,NOT_AVAILABLE,
,gmlocfix,gimbal local control, fixed mode,NOT_AVAILABLE,
,gmlocfol,gimbal local control, follow mode,NOT_AVAILABLE,
,gmslave,gimbal slave control,NOT_AVAILABLE,,
,acromd,acro mode,Modus acro,,
,anglmd,angle mode,Modus-winkel,,
,althld,altitude hold,Modus Höhe halten,,
,atmtcmd,automatic mode,Modus automatisch,,
,attmd,attitude mode,Modus-Einstellung,,
,automd,auto mode,Modus auto,,
,auttnmd,autotune mode,Modus auto-tune,,
,clmbmd,climbing mode,Modus Klettern,,
,cruzmd,cruise mode,Modus Kreuzfahrt,,
,fbwa,fly by wire, A,Fliegen Sie durch Draht A,
,fbwb,fly by wire, B,Fliegen Sie durch Draht B,
,flapfll,flaps, full,Klappen ausgefahren,
,flaphlf,flaps, half,Klappen halfte,
,flapsup,flaps, up,Klappen eingefahren,
,flwmemd,follow me mode,Modus folgen mir,,
,giddmd,guided mode,Modus geführt,,
,gpsmd,GPS mode,Modus GPS,,
,hirates,high rates,Wirft voll,,
,hrznmd,horizon mode,Modus-Horizont,,
,hvrmd,hover mode,Modus schweben,,
,hybrdmd,hybrid mode,Modus hybrid,,
,knfedgm,knife edge mix,Messer schneiden,,
,lndgmd,land mode,Modus landen,,
,lhtsoff,lights oghf,Lichten aus,,
,lhtson,lights awn,Lichter an,,
,lnchmd,launch mode,Modus abheben,,
,lndgmd,landing mode,Modus Landung,,
,loitr,loiter,bummeln,,
,loitrmd,loiter mode,Modus bumeln,,
,lowrates,low rates,Wirft niedrig,,
,lwstcell,lowest cell,Zelle niedrigste,,
,manmd,manual mode,Modus Handbuch,,
,midrates,middle rates,Wirft mitten,,
,osdsw,OSD Switch,OSD Schalter,,
,poshld,position hold,Stellung halten,,
,racemd,race mode,Modus Rennen,,
,rtl,return to launch,Zurück zum Start,,
,slvlmd,self level mode,NOT_AVAILABLE,,
,smokeoff,smoke off,Rauch aus,,
,smokeon,smoke on,Rauchen auf,,
,speedmd,speed mode,Modus Geschwindigkeit,,
,sprtmd,sport mode,Modus Sport,,
,stbloff,stabilization oghf,Stabilisierung aus,,
,stblon,stabilization awn,Stabilisierung auf,,
,stblzmd,stabilize mode,Modus Stabilisierung,,
,thract,throttle active,Drossel aktiv,,
,thrdis,throttle disabled,drosseln Deaktiviert,,
,thrhold,throttle hold,drosseln halten,,
,thrmlmd,thermal mode,Modus Thermisch,,
,trngmd,training mode,Modus Ausbildung,,
,lrngmd,learning mode,,,
,strgmd,steering mode,,,
,hldmd,hold mode,,,
